Date,Time,State,PuFrom,Address,Street,Airport,Location in Airport
2014.07.17,04:00,NY                                                                                                                           ,MANHATTAN,21,E 10 ST             ,,
2014.07.29,06:45,NY                                                                                                                           ,MANHATTAN,120,E 34 ST             ,,
2014.07.29,05:07,NJ,EWR,      ,                    ,EWR,UNITED PICK-UP AREA 3
2014.07.19,06:45,NY                                                                                                                           ,MANHATTAN,313,E 9 ST              ,,
2014.07.26,04:00,NY                                                                                                                           ,MANHATTAN,450,W 17 St             ,,
2014.07.26,05:30,NY                                                                                                                           ,Manhattan                               ,57,ANN ST              ,,
2014.08.07,04:00,NY                                                                                                                           ,MANHATTAN,111,E 48 ST             ,,
2014.07.12,09:15,NY                                                                                                                           ,MANHATTAN,410,E 92 ST             ,,
2014.07.28,05:00,NY                                                                                                                           ,QUEENS,2711,CORP KENNEDY ST     ,,
2014.07.22,04:15,NY                                                                                                                           ,MANHATTAN,250,W 50 ST             ,,
2014.08.04,09:30,NY                                                                                                                           ,MANHATTAN,1335,6 AVE               ,,
2014.07.16,08:15,NY                                                                                                                           ,MANHATTAN,167,E 61 ST             ,,
2014.07.23,09:00,NY                                                                                                                           ,MANHATTAN,345,W 58 ST             ,,
2014.07.28,09:45,NY                                                                                                                           ,MANHATTAN,355,8 AVE               ,,
2014.07.18,04:15,NY                                                                                                                           ,MANHATTAN,57,E 57 ST             ,,
2014.07.24,06:00,NY                                                                                                                           ,MANHATTAN,111,BARROW ST           ,,
2014.07.23,07:28,NY                                                                                                                           ,JFK,      ,                    ,JFK,DELTA TERMINAL 2 CURBSIDE
2014.07.22,08:00,NY                                                                                                                           ,JFK,      ,                    ,JFK,AMERICAN DOMESTIC PICK-UP AREA C
2014.08.02,04:30,NY                                                                                                                           ,MANHATTAN,201,E 2 ST              ,,
2014.07.27,11:00,NY                                                                                                                           ,QUEENS,475,48 AVE              ,,
2014.07.25,05:30,NY                                                                                                                           ,MANHATTAN,260,W 26 ST             ,,
2014.08.01,04:45,NY                                                                                                                           ,MANHATTAN,200,RECTOR PL           ,,
2014.07.31,04:00,NY                                                                                                                           ,MANHATTAN,21,WEST ST             ,,
2014.07.30,08:45,NY                                                                                                                           ,QUEENS,15846,76 AVE              ,,
2014.08.03,05:45,NY                                                                                                                           ,MANHATTAN,142,WEST END AVE        ,,
2014.07.29,04:15,NY                                                                                                                           ,MANHATTAN,303,BROOME ST           ,,
2014.07.28,04:00,NY                                                                                                                           ,MANHATTAN,118,W 73 ST             ,,
2014.08.11,05:45,NY                                                                                                                           ,MANHATTAN,116,W 14 ST             ,,
2014.08.09,04:47,NY                                                                                                                           ,MANHATTAN,321,W 16 ST             ,,
2014.07.28,08:05,NJ,EWR,      ,                    ,EWR,UNITED TERM A DOOR 2
2014.08.10,04:15,NY                                                                                                                           ,Manhattan                               ,55,W 25 ST             ,,
2014.08.08,07:45,NY                                                                                                                           ,MANHATTAN,130,W 15 ST             ,,
2014.08.01,06:00,NY                                                                                                                           ,MANHATTAN,125,E 50 ST             ,,
2014.08.02,06:30,NY                                                                                                                           ,MANHATTAN,310,WEST BROADWAY       ,,
2014.08.02,08:07,NY                                                                                                                           ,JFK,      ,                    ,JFK,AMERICAN DOMESTIC PICK-UP AREA C
2014.08.08,05:15,NY                                                                                                                           ,MANHATTAN,661,WASHINGTON ST       ,,
2014.08.13,09:45,NY                                                                                                                           ,MANHATTAN,221,W 20 ST             ,,
2014.08.12,07:00,NY                                                                                                                           ,MANHATTAN,320,E 23 ST             ,,
2014.08.09,04:00,NY                                                                                                                           ,MANHATTAN,129,3 Ave               ,,
2014.08.15,06:30,NY                                                                                                                           ,MANHATTAN,9,CROSBY ST           ,,
2014.07.28,06:15,NY                                                                                                                           ,MANHATTAN,380,RECTOR PL           ,,
2014.07.27,05:30,NY                                                                                                                           ,MANHATTAN,504,GRAND ST            ,,
2014.08.12,04:00,NY                                                                                                                           ,MANHATTAN,525,W 49 ST             ,,
2014.08.12,06:15,NY                                                                                                                           ,MANHATTAN,1,ASTOR PL            ,,
2014.07.31,06:00,NY                                                                                                                           ,MANHATTAN,100,E 31 ST             ,,
2014.08.11,04:45,NY                                                                                                                           ,MANHATTAN,49,KING ST             ,,
2014.08.04,04:15,NY                                                                                                                           ,MANHATTAN,344,W 23 ST             ,,
2014.08.10,12:15,NY                                                                                                                           ,MANHATTAN,10,WATERSIDE PLAZA     ,,
2014.08.14,06:15,NY                                                                                                                           ,MANHATTAN,303,W 21 ST             ,,
2014.08.15,08:00,NY                                                                                                                           ,QUEENS,405,MAIN ST             ,,
2014.08.15,03:45,NY                                                                                                                           ,MANHATTAN,4,PETER COOPER RD     ,,
2014.08.06,07:30,NY                                                                                                                           ,MANHATTAN,402,E 65 ST             ,,
2014.08.07,05:30,NY                                                                                                                           ,MANHATTAN,21,WEST ST             ,,
2014.08.04,10:00,NY                                                                                                                           ,MANHATTAN,511,LEXINGTON AVE       ,,
2014.08.04,07:48,NY                                                                                                                           ,LGA,      ,                    ,LGA,DELTA PICK-UP ISLAND
2014.08.12,08:09,NY                                                                                                                           ,LGA,      ,                    ,LGA,AIR CANADA PICK-UP ISLAND
2014.08.14,04:00,NY                                                                                                                           ,MANHATTAN,245,E 63 ST             ,,
2014.08.04,05:15,NY                                                                                                                           ,MANHATTAN,350,W 37 ST             ,,
2014.08.04,06:15,NY                                                                                                                           ,MANHATTAN,201,E 31 ST             ,,
2014.08.14,08:09,NY                                                                                                                           ,JFK,      ,                    ,JFK,JET BLUE DOMESTIC PICK-UP AREA 3
2014.08.10,05:30,NY                                                                                                                           ,JFK,      ,                    ,JFK,US AIR PICK UP AREA A
2014.08.06,04:15,NY                                                                                                                           ,MANHATTAN,250,E HOUSTON ST        ,,
2014.08.25,05:30,NY                                                                                                                           ,MANHATTAN,179,CHRISTOPHER ST      ,,
2014.08.19,05:30,NY                                                                                                                           ,MANHATTAN,575,Grand St            ,,
2014.08.16,04:00,NY                                                                                                                           ,MANHATTAN,43,AVENUE C            ,,
2014.08.13,04:00,NY                                                                                                                           ,MANHATTAN,95,CHRISTOPHER ST      ,,
