Date,Time,State,PuFrom,Address,Street
2014.08.07,4:00,NY                                                                                                                           ,MANHATTAN,111,E 48 ST             
2014.07.12,9:15,NY                                                                                                                           ,MANHATTAN,410,E 92 ST             
2014.07.28,5:00,NY                                                                                                                           ,QUEENS,2711,CORP KENNEDY ST     
2014.07.22,4:15,NY                                                                                                                           ,MANHATTAN,250,W 50 ST             
2014.08.04,9:30,NY                                                                                                                           ,MANHATTAN,1335,6 AVE               
2014.07.16,8:15,NY                                                                                                                           ,MANHATTAN,167,E 61 ST             
2014.07.23,9:00,NY                                                                                                                           ,MANHATTAN,345,W 58 ST             
2014.07.28,9:45,NY                                                                                                                           ,MANHATTAN,355,8 AVE               
2014.07.18,4:15,NY                                                                                                                           ,MANHATTAN,57,E 57 ST             
2014.07.24,6:00,NY                                                                                                                           ,MANHATTAN,111,BARROW ST           
2014.07.23,7:28,JFK DELTA TERM 2  CURBSIDE                                                                                                   ,,      ,                    
2014.07.22,8:00,JFK AMERICAN DOMESTIC Pickup Area C                                                                                          ,,      ,                    
2014.08.02,4:30,NY                                                                                                                           ,MANHATTAN,201,E 2 ST              
2014.07.27,11:00,NY                                                                                                                           ,QUEENS,475,48 AVE              
2014.07.25,5:30,NY                                                                                                                           ,MANHATTAN,260,W 26 ST             
2014.08.01,4:45,NY                                                                                                                           ,MANHATTAN,200,RECTOR PL           
2014.07.31,4:00,NY                                                                                                                           ,MANHATTAN,21,WEST ST             
2014.07.30,8:45,NY                                                                                                                           ,QUEENS,15846,76 AVE              
2014.08.03,5:45,NY                                                                                                                           ,MANHATTAN,142,WEST END AVE        
2014.07.29,4:15,NY                                                                                                                           ,MANHATTAN,303,BROOME ST           
2014.07.28,4:00,NY                                                                                                                           ,MANHATTAN,118,W 73 ST             
2014.08.11,5:45,NY                                                                                                                           ,MANHATTAN,116,W 14 ST             
2014.08.09,4:47,NY                                                                                                                           ,MANHATTAN,321,W 16 ST             
2014.07.28,8:05,EWR UNITED TERM A DOOR 2                                                                                                     ,,      ,                    
2014.08.10,4:15,NY                                                                                                                           ,Manhattan                               ,55,W 25 ST             
2014.08.08,7:45,NY                                                                                                                           ,MANHATTAN,130,W 15 ST             
2014.08.01,6:00,NY                                                                                                                           ,MANHATTAN,125,E 50 ST             
2014.08.02,6:30,NY                                                                                                                           ,MANHATTAN,310,WEST BROADWAY       
2014.08.02,8:07,JFK AMERICAN DOMESTIC Pickup Area C                                                                                          ,,      ,                    
2014.08.08,5:15,NY                                                                                                                           ,MANHATTAN,661,WASHINGTON ST       
2014.08.13,9:45,NY                                                                                                                           ,MANHATTAN,221,W 20 ST             
2014.08.12,7:00,NY                                                                                                                           ,MANHATTAN,320,E 23 ST             
2014.08.09,4:00,NY                                                                                                                           ,MANHATTAN,129,3 Ave               
2014.08.15,6:30,NY                                                                                                                           ,MANHATTAN,9,CROSBY ST           
2014.07.28,6:15,NY                                                                                                                           ,MANHATTAN,380,RECTOR PL           
2014.07.27,5:30,NY                                                                                                                           ,MANHATTAN,504,GRAND ST            
2014.08.12,4:00,NY                                                                                                                           ,MANHATTAN,525,W 49 ST             
2014.08.12,6:15,NY                                                                                                                           ,MANHATTAN,1,ASTOR PL            
2014.07.31,6:00,NY                                                                                                                           ,MANHATTAN,100,E 31 ST             
2014.08.11,4:45,NY                                                                                                                           ,MANHATTAN,49,KING ST             
2014.08.04,4:15,NY                                                                                                                           ,MANHATTAN,344,W 23 ST             
2014.08.10,12:15,NY                                                                                                                           ,MANHATTAN,10,WATERSIDE PLAZA     
2014.08.14,6:15,NY                                                                                                                           ,MANHATTAN,303,W 21 ST             
2014.08.15,8:00,NY                                                                                                                           ,QUEENS,405,MAIN ST             
2014.08.15,3:45,NY                                                                                                                           ,MANHATTAN,4,PETER COOPER RD     
2014.08.06,7:30,NY                                                                                                                           ,MANHATTAN,402,E 65 ST             
2014.08.07,5:30,NY                                                                                                                           ,MANHATTAN,21,WEST ST             
2014.08.04,10:00,NY                                                                                                                           ,MANHATTAN,511,LEXINGTON AVE       
2014.08.04,7:48,LGA DELTA Pick-up Island                                                                                                     ,,      ,                    
2014.08.12,8:09,LGA AIR CANADA Pick-up Island                                                                                                ,,      ,                    
2014.08.14,4:00,NY                                                                                                                           ,MANHATTAN,245,E 63 ST             
2014.08.04,5:15,NY                                                                                                                           ,MANHATTAN,350,W 37 ST             
2014.08.04,6:15,NY                                                                                                                           ,MANHATTAN,201,E 31 ST             
2014.08.14,8:09,JFK JET BLUE DOMESTIC PICK UP AREA 3                                                                                         ,,      ,                    
2014.08.10,5:30,JFK Us Air Pickup Area A                                                                                                     ,JFK,      ,                    
2014.08.06,4:15,NY                                                                                                                           ,MANHATTAN,250,E HOUSTON ST        
2014.08.25,5:30,NY                                                                                                                           ,MANHATTAN,179,CHRISTOPHER ST      
2014.08.19,5:30,NY                                                                                                                           ,MANHATTAN,575,Grand St            
2014.08.16,4:00,NY                                                                                                                           ,MANHATTAN,43,AVENUE C            
2014.08.13,4:00,NY                                                                                                                           ,MANHATTAN,95,CHRISTOPHER ST      
2014.08.22,4:00,NY                                                                                                                           ,MANHATTAN,145,E 39 ST             
2014.08.11,4:15,NY                                                                                                                           ,MANHATTAN,247,CENTRE ST           
2014.08.19,3:45,NY                                                                                                                           ,MANHATTAN,170,E 3 ST              
2014.08.19,8:15,NY                                                                                                                           ,MANHATTAN,131,CHARLES ST          
2014.08.03,8:30,NY                                                                                                                           ,MANHATTAN,148,CHAMBERS ST         
2014.08.17,5:15,NY                                                                                                                           ,MANHATTAN,533,CANAL ST            
2014.08.17,7:00,NY                                                                                                                           ,MANHATTAN,54,MORTON ST           
2014.08.17,4:00,NY                                                                                                                           ,MANHATTAN,247,WADSWORTH AVE       
2014.08.17,9:00,NY                                                                                                                           ,MANHATTAN,200,RECTOR PL           
2014.07.31,7:30,NY                                                                                                                           ,MANHATTAN,92,E 7 ST              
2014.08.01,4:00,NY                                                                                                                           ,MANHATTAN,260,W 54 ST             
2014.08.23,12:30,NY                                                                                                                           ,MANHATTAN,330,1 AVE               
2014.08.13,6:30,NY                                                                                                                           ,MANHATTAN,145,E 15 ST             
2014.08.22,4:46,NY                                                                                                                           ,MANHATTAN,19,E 34 ST             
2014.08.24,9:45,NY                                                                                                                           ,MANHATTAN,70,E 10 ST             
2014.08.28,9:45,NY                                                                                                                           ,MANHATTAN,270,PARK AVE            
2014.08.24,5:50,NY                                                                                                                           ,MANHATTAN,29,BROADWAY            
2014.08.06,7:00,NY                                                                                                                           ,MANHATTAN,167,PERRY ST            
2014.08.29,6:15,NY                                                                                                                           ,MANHATTAN,400,CHAMBERS ST         
2014.08.22,8:30,NY                                                                                                                           ,MANHATTAN,410,E 9 ST              
2014.08.03,4:00,NY                                                                                                                           ,MANHATTAN,339,E 33 ST             
